Employee_ID,Employee_name,Employee_address,Employee_SSN,Employee_Date_of_birth,Job_title,Start_date,End_date
1,Archie Bunker,"704 Hauser St., New York, N.Y., U.S.",848-85-6500,1970-11-17,CEO,2015-06-23,
2,Sherlock Holmes,"221B Baker St., London, U.K.",202-41-1425,1972-09-10,COO,2015-06-29,2021-05-25
3,Jerry Seinfeld,"Apartment 5A, 129 W. 81st St., New York, N.Y., U.S.",870-62-8148,1974-09-22,Vice-President,2015-10-09,2016-08-18
4,Andy Taylor,"322 Maple St., Mayberry, N.C., U.S.",482-40-7969,1977-03-03,Vice-President,2016-03-23,
5,Beaver Cleaver,"485 Maple Drive (later 211 Pine St.), Mayfield, U.S.",371-07-9230,1977-07-21,Senior Manager,2016-05-12,
6,Jim Anderson,"607 S. Maple St., U.S.",330-33-5174,1977-10-15,Senior Manager,2016-06-14,
7,Fibber McGee,"79 Wistful Vista, U.S.",645-94-0678,1978-11-16,Senior Manager,2016-06-17,2018-02-22
8,Jed Clampett,"518 Crestview Drive, Beverly Hills, California, U.S.",805-16-9478,1982-02-07,Senior Manager,2016-08-24,
9,Buffy Summers,"1630 Revello Drive, Sunnydale, California, U.S.",105-36-8233,1982-12-31,Manager,2016-09-14,
10,Willis Jackson,"900 Park Avenue at 79th Street, New York, NY, U.S.",390-49-7059,1984-04-09,Manager,2016-12-30,
11,Blake Carrington,"173 Essex Drive, Denver, Colorado, U.S.",185-20-1877,1985-04-07,Manager,2017-04-06,
12,Ray Barone,"320 Fowler Street, Lynbrook, New York, U.S.",615-45-2639,1985-08-28,Manager,2017-06-28,2019-01-25
13,Howard Cunningham,"565 N. Clinton Drive, Milwaukee, Wisconsin, U.S.",109-13-7826,1986-03-25,Manager,2017-07-05,
14,Dorothy Baxter,"123 Marshall Road, Hydsberg, New York, U.S.",371-75-9172,1987-06-12,Manager,2018-01-08,2019-07-17
15,Alice Kramden,"328 Chauncey Street, Brooklyn, New York, U.S.",852-37-0947,1988-01-20,Senior Analyst,2018-01-29,
16,Peggy Hill,"84 Rainey Street, Arlen, Texas, U.S.",222-87-0355,1988-08-01,Senior Analyst,2019-02-20,
17,Jessica Fletcher,"698 Candlewood Lane, Cabot Cove, Maine, U.S.",105-60-5843,1989-07-14,Senior Analyst,2019-02-21,
18,Herman Munster,"1313 Mockingbird Lane, Mockingbird Heights, California, U.S.",751-63-9093,1991-01-28,Senior Analyst,2019-10-18,
19,Fran Fine,"7 East 76th Street, New York, NY, U.S.",462-88-6925,1991-05-06,Senior Analyst,2020-01-08,
20,Oscar Madison,"1049 Park Avenue, New York, New York, U.S.",644-78-3471,1992-08-27,Analyst,2020-02-06,2020-11-23
21,Shirley Partridge,"698 Syncamore Road, San Pueblo, California, U.S.",546-93-3505,1992-09-07,Analyst,2020-05-08,
22,Balki Bartokomous,"711 Coldwell Street, Apartment 209, Chicago, Illinois, U.S.",216-45-7944,1993-02-08,Analyst,2020-08-13,
23,Fox Mulder,"42-2630 Hegal Place, Alexandria, Virginia, U.S.",905-79-5458,1998-10-01,Secretary,2020-10-29,2021-05-25
24,Dana Scully,"3170 West 53 Road, #35, Annapolis, Maryland, U.S.",523-89-3844,1999-01-22,Secretary,2020-12-01,
